"S.
 No",District,Total Positive Cases as on 06.08.2020,Discharged Cases as on 06.08.2020,Active Cases as on 06.08.2020,Death Cases as on 06.08.2020
1,Ariyalur,1154,926,218,10
2,Chengalpattu,16897,13969,2644,284
3,Chennai,106096,92128,11720,2248
4,Coimbatore,5997,4322,1579,96
5,Cuddalore,4232,2271,1912,49
6,Dharmapuri,815,722,86,7
7,Dindigul,3331,2707,561,63
8,Erode,888,636,239,13
9,Kallakurichi,4131,3274,827,30
10,Kancheepuram,10993,7984,2872,137
11,Kanniyakumari,5829,3833,1933,63
12,Karur,680,351,319,10
13,Krishnagiri,1263,798,449,16
14,Madurai,11689,9549,1864,276
15,Nagapattinam,921,520,390,11
16,Namakkal,890,517,363,10
17,Nilgiris,919,756,160,3
18,Perambalur,572,421,142,9
19,Pudukkottai,2755,1901,821,33
20,Ramanathapuram,3503,3043,389,71
21,Ranipet,6342,4567,1731,44
22,Salem,4251,3099,1109,43
23,Sivaganga,2768,2253,460,55
24,Tenkasi,2629,1720,870,39
25,Thanjavur,3484,2567,881,36
26,Theni,6836,4068,2686,82
27,Thoothukudi,8450,6557,1832,61
28,Tiruchirapalli,4834,3494,1273,67
29,Tirunelveli,6071,3732,2274,65
30,Tirupathur,1436,922,489,25
31,Tiruppur,1059,712,329,18
32,Tiruvallur,15890,12153,3469,268
33,Tiruvannamalai,7058,4982,1995,81
34,Tiruvarur,1874,1681,181,12
35,Vellore,6897,5440,1376,81
36,Villupuram,4316,3473,803,40
37,Virudhunagar,9441,7416,1911,114
38,Airport Surveillance (International),852,695,156,1
39,Airport Surveillance (Domestic),675,504,171,0
40,Railway Surveillance,426,424,2,0
Total,Grand Total,279144,221087,53486,4571
